title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3,price per 100
Primagusto Brombeeren,/en/food/fruit-vegetables/fruit/grapes-berries/berries/primagusto-brombeeren/p/6028034,200g,3.5,5.95,,,fruit-vegetables,fruit,grapes-berries,2.98
Primagusto Charentais Melon 1 Piece,/en/food/fruit-vegetables/fruit/kiwi-melons/primagusto-charentais-melon-1-piece/p/3741327,1PCE,4.5,5.95,,,fruit-vegetables,fruit,kiwi-melons,5.95
Primagusto Cherries,/en/food/fruit-vegetables/fruit/grapes-berries/berries/primagusto-cherries/p/4569657,500g,2.0,9.5,,,fruit-vegetables,fruit,grapes-berries,1.9
Primagusto Clementinen ca. 1kg,/en/food/fruit-vegetables/fruit/citrus-fruit/primagusto-clementinen-ca/p/6430286,1000 g,4.5,5.95,,,fruit-vegetables,fruit,citrus-fruit,0.6
Primagusto Fairtrade Calimosa Papaya,/en/food/fruit-vegetables/fruit/more-exotic-fruit/primagusto-fairtrade-calimosa-papaya/p/6049296,950g,3.5,6.95,,,fruit-vegetables,fruit,more-exotic-fruit,0.73
Primagusto Faitrade Pineapple 1 Piece,/en/food/fruit-vegetables/fruit/pineapple-mangoes/primagusto-faitrade-pineapple-1-piece/p/6080446,1PCE,4.5,5.95,,,fruit-vegetables,fruit,pineapple-mangoes,5.95
Primagusto Green Kiwi 1 Piece 1PCE,/en/food/fruit-vegetables/fruit/kiwi-melons/primagusto-green-kiwi-1-piece/p/4278454,1PCE,4.5,1.1,,,fruit-vegetables,fruit,kiwi-melons,1.1
Primagusto Lemon 1 Piece 1PCE,/en/food/fruit-vegetables/fruit/citrus-fruit/primagusto-lemon-1-piece/p/6323931,1PCE,4.5,1.3,,,fruit-vegetables,fruit,citrus-fruit,1.3
Primagusto Plums ca. 1kg,/en/food/fruit-vegetables/fruit/more-garden-fruit/primagusto-plums-ca/p/4050325,1000 g,2.0,6.95,,,fruit-vegetables,fruit,more-garden-fruit,0.7
Primagusto Strawberries,/en/food/fruit-vegetables/fruit/grapes-berries/berries/primagusto-strawberries/p/4323527,250g,4.0,5.95,,,fruit-vegetables,fruit,grapes-berries,2.38
Primagusto White Nectarines ca. 1kg,/en/food/fruit-vegetables/fruit/more-garden-fruit/primagusto-white-nectarines-ca/p/3723900,1000 g,5.0,6.95,,,fruit-vegetables,fruit,more-garden-fruit,0.7
Prix Garantie apples,/en/food/fruit-vegetables/fruit/apples-pears/prix-garantie-apples/p/3462288,2500 g,4.0,3.95,,,fruit-vegetables,fruit,apples-pears,0.16
Prix Garantie Apples Jonagold ca. 1kg,/en/food/fruit-vegetables/fruit/apples-pears/prix-garantie-apples-jonagold-ca/p/6495498,1000 g,3.5,2.9,,,fruit-vegetables,fruit,apples-pears,0.29
Prix Garantie Bananen ca. 1kg,/en/food/fruit-vegetables/fruit/bananas/prix-garantie-bananen-ca/p/6832787,1000 g,4.0,1.4,,,fruit-vegetables,fruit,bananas,0.14
Prix Garantie Galia Melon 1 Piece,/en/food/fruit-vegetables/fruit/kiwi-melons/prix-garantie-galia-melon-1-piece/p/6577215,1PCE,2.0,3.0,,,fruit-vegetables,fruit,kiwi-melons,3.0
Prix Garantie Grapefruits rot,/en/food/fruit-vegetables/fruit/citrus-fruit/prix-garantie-grapefruits-rot/p/6495113,1000 g,2.0,2.5,,,fruit-vegetables,fruit,citrus-fruit,0.25
Prix Garantie Kiwi,/en/food/fruit-vegetables/fruit/kiwi-melons/prix-garantie-kiwi/p/3525117,1000 g,4.0,2.95,,,fruit-vegetables,fruit,kiwi-melons,0.3
Prix Garantie Lemons,/en/food/fruit-vegetables/fruit/citrus-fruit/prix-garantie-lemons/p/6689552,750g,4.0,1.45,,,fruit-vegetables,fruit,citrus-fruit,0.19
Prix Garantie Limes 4 limes,/en/food/fruit-vegetables/fruit/citrus-fruit/prix-garantie-limes-4-limes/p/6864068,,0.0,1.95,,,fruit-vegetables,fruit,citrus-fruit,
Prix Garantie Mango 2 Pieces,/en/food/fruit-vegetables/fruit/pineapple-mangoes/prix-garantie-mango-2-pieces/p/6491261,2PCE,2.5,3.0,,,fruit-vegetables,fruit,pineapple-mangoes,1.5
Prix Garantie Oranges,/en/food/fruit-vegetables/fruit/citrus-fruit/prix-garantie-oranges/p/6497015,2500 g,3.0,3.5,,,fruit-vegetables,fruit,citrus-fruit,0.14
